스물셋,아이유,CHAT-SHIRE,2015.10.23,"Ballad, Dance"
푸르던,아이유,CHAT-SHIRE,2015.10.23,"Ballad, Dance"
새 신발,아이유,CHAT-SHIRE,2015.10.23,"Ballad, Dance"
무릎,아이유,CHAT-SHIRE,2015.10.23,"Ballad, Dance"
Zeze,아이유,CHAT-SHIRE,2015.10.23,"Ballad, Dance"
Red Queen (Feat. Zion.T),아이유,CHAT-SHIRE,2015.10.23,"Ballad, Dance"
안경,아이유,CHAT-SHIRE,2015.10.23,"Ballad, Dance"
꼭 어제,XIA (준수),꼭 어제,2015.10.19,"Ballad, Dance"
Forever Love,버즈,Forever Love,2015.10.20,Rock
PARACHUTE (Feat. 오혁 & Dok2),CODE KUNST,PARACHUTE,2015.10.21,Rap / Hip-hop
OOH-AHH하게,TWICE (트와이스),THE STORY BEGINS,2015.10.20,"Dance, Ballad"
너를 잊을 수 있을까,어쿠스틱 콜라보,"설렘, 사랑 그리고 그리움",2015.10.16,Folk
너뿐이야,시원 (SiWon),그녀는 예뻤다 OST Part.5,2015.10.22,Drama
가시,버즈,Buzz Effect,2005.03.03,Rock
남자를 몰라,버즈,Perfect,2006.04.24,Rock
싹 다 (Prod. by The Quiett) (Feat. The Quiett),유빈 (Wonder Girls),언프리티 랩스타 2 Track 6 & 7,2015.10.17,Rap / Hip-hop
바보처럼 살았군요,솔라 (마마무),솔라감성 Part.1,2015.10.23,Ballad
