어김없이,엠씨 더 맥스,pathos

"what2do (Feat. Crush, Jeff Bernat)",DEAN,"what2do (Feat. Crush, Jeff Bernat)"

UUU,정인,rare

사랑이었다 (Feat. 루나 of f(x)),지코 (ZICO),Break Up 2 Make Up

회상,장범준,시그널 OST Part.1

어디에도,엠씨 더 맥스,pathos

유복하게 살았는데,정진우,"K팝 스타 시즌5 Part.6 (정진우, 마진가 S)"

사이다,예지,Foresight Dream

아스라이,엠씨 더 맥스,pathos

그 집 앞 (Feat. 김진호 Of SG워너비),베이식,그 집 앞

너와 나의 시간은,바닐라 어쿠스틱,치즈인더트랩 OST Part.4

선 (Feat. 우효) (45.7cm),유승우,Pit a Pat

시간을 달려서 (Rough),여자친구,여자친구 3rd Mini Album `SNOWFLAKE`

서프라이즈 (Feat. Beenzino),범키,U-TURN

괜찮다가도,엠씨 더 맥스,pathos

I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album

I Miss You,마마무,I Miss You

어린왕자 (The Little Prince),려욱 (RYEOWOOK),어린왕자 (The Little Prince) - The 1st Mini Album

사랑가시 (민호&태현),WINNER,EXIT : E

pale blue note, 엠씨 더 맥스, pathos
